Name;Description;GTEX-1117F-2826-SM-5GZXL;GTEX-111YS-1926-SM-5GICC;GTEX-1122O-1226-SM-5H113;GTEX-117XS-1926-SM-5GICO;GTEX-117YX-1426-SM-5H12H;GTEX-1192X-2326-SM-5987X;GTEX-11DXW-0626-SM-5N9ER;GTEX-11DXY-2326-SM-5GICW;GTEX-11DXZ-1926-SM-5GZZL;GTEX-11DZ1-0326-SM-5N9BN;GTEX-11EI6-0626-SM-5985T;GTEX-11EM3-1326-SM-5N9C6;GTEX-11EMC-2026-SM-5A5JV;GTEX-11EQ9-1826-SM-5Q5AJ;GTEX-11GS4-2126-SM-5A5KR;GTEX-11GSO-1926-SM-5A5K3;GTEX-11GSP-0926-SM-9WYSG;GTEX-11I78-2226-SM-5PNYA;GTEX-11LCK-2426-SM-5HL5F;GTEX-11NSD-0926-SM-5N9DR;GTEX-11NV4-2026-SM-5N9DG;GTEX-11O72-2126-SM-5N9FO;GTEX-11OF3-1926-SM-59889;GTEX-11ONC-2126-SM-5HL6E;GTEX-11P7K-0726-SM-5EGKX;GTEX-11P81-1926-SM-5BC53;GTEX-11P82-1326-SM-5HL62;GTEX-11PRG-0826-SM-5EQ6A;GTEX-11TT1-2126-SM-5GU5Y;GTEX-11TUW-1826-SM-5BC5D;GTEX-11WQC-1726-SM-5GU4W;GTEX-11WQK-2426-SM-5GU5C;GTEX-11ZTS-2926-SM-GHWOW;GTEX-11ZTT-2326-SM-5EQLG;GTEX-11ZUS-0826-SM-5FQUY;GTEX-1211K-1926-SM-5EQLB;GTEX-1269C-2426-SM-5FQSN;GTEX-12BJ1-1826-SM-5HL9N;GTEX-12C56-0726-SM-HAV3J;GTEX-12KS4-0126-SM-5Q5A5;GTEX-12WSA-0926-SM-GHWO8;GTEX-12WSK-2226-SM-5GCO5;GTEX-12WSM-1726-SM-5BC6J;GTEX-12WSN-1326-SM-5GCNT;GTEX-12ZZX-1126-SM-5EGKB;GTEX-13113-5013-SM-7SB7G;GTEX-1313W-0826-SM-5EQ4T;GTEX-1314G-1226-SM-5BC6D;GTEX-131XW-0726-SM-5EGK3;GTEX-131YS-0626-SM-5EGKL;GTEX-132AR-0826-SM-5EGK6;GTEX-132NY-0826-SM-5K7Y7;GTEX-132Q8-1426-SM-5EGK7;GTEX-133LE-1726-SM-5K7VQ;GTEX-1399U-1826-SM-5PNZ1;GTEX-139T6-1626-SM-5PNYZ;GTEX-139T8-0826-SM-G8OLO;GTEX-139TU-0626-SM-5KM3X;GTEX-13CF2-2026-SM-5K7VI;GTEX-13CF3-2126-SM-5IFJP;GTEX-13D11-1026-SM-5IJFB;GTEX-13FHO-0826-SM-5L3E8;GTEX-13FLV-2526-SM-G8W75;GTEX-13FTW-1426-SM-5LZWZ;GTEX-13FTX-1126-SM-5N9EN;GTEX-13FTY-2226-SM-5J1ND;GTEX-13JVG-2326-SM-HPAGF;GTEX-13N11-1726-SM-5J1OJ
ENSG00000228794.13;LINC01128;1242;1340;1788;5573;1462;1340;1823;1780;2953;1837;1131;1098;1483;3402;1176;2054;2091;2162;1350;2641;1629;2903;1834;2199;1441;1467;2221;1179;1225;10724;1094;2003;1768;1443;2749;1728;1041;1817;1638;1631;1323;1006;1181;1019;986;1476;2205;1074;1431;1051;2144;2421;1014;1516;1947;3123;953;1535;1871;3019;1720;807;1399;5062;2959;1192;710;1476
ENSG00000297178.1;ENSG00000297178;5;6;3;36;4;10;18;10;16;3;4;3;8;12;10;1;9;5;7;2;15;9;14;8;6;7;12;7;8;38;6;2;0;7;8;11;17;15;10;10;9;4;8;10;16;28;18;8;11;4;13;2;6;4;4;8;0;9;22;13;5;3;4;18;7;13;3;4
ENSG00000297224.1;ENSG00000297224;14;9;7;37;7;12;19;6;17;10;6;4;12;9;4;16;9;0;8;14;7;27;18;20;8;4;8;4;3;13;7;8;13;5;8;3;5;10;9;9;1;4;5;4;6;9;22;2;16;13;17;7;11;6;8;7;2;17;10;3;6;7;6;6;6;21;7;16
ENSG00000230368.3;FAM41C;1;1;5;6;1;0;3;4;3;0;1;2;4;1;2;0;2;2;1;1;1;2;2;0;2;8;0;0;0;1;2;1;0;1;3;1;3;1;0;2;0;2;2;2;4;2;3;5;5;1;1;2;1;3;0;2;1;0;2;0;3;0;3;2;1;7;0;4
ENSG00000234711.1;TUBB8P11;2;1;2;6;1;5;2;4;1;1;2;2;9;3;2;1;8;1;2;1;11;2;0;3;3;7;1;2;1;4;2;4;0;2;3;0;4;2;0;0;0;1;0;2;4;4;1;2;7;0;0;0;1;1;1;0;12;1;1;1;1;2;7;1;5;11;0;13
ENSG00000283040.1;ENSG00000283040;0;0;1;2;1;0;0;1;1;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;0;4;0;0;1;1;0;1;0;0;1;0;2;0;0;2;0;1;2;0;0;0;2;1;0;3;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;6;0;0
ENSG00000296088.1;ENSG00000296088;1;0;0;8;5;4;2;6;2;1;0;0;0;0;1;3;0;2;0;1;0;0;2;0;1;3;1;0;0;3;1;0;0;0;0;1;0;1;0;1;0;2;3;0;0;0;1;2;1;1;1;1;0;2;1;1;0;1;1;0;0;1;0;2;0;2;0;1
ENSG00000272438.2;ENSG00000272438;33;153;69;74;44;40;167;34;53;17;133;34;135;48;242;57;93;50;94;555;189;59;87;45;130;74;13;174;160;97;65;56;55;8;24;67;142;118;32;35;76;23;37;22;66;24;53;31;471;232;47;184;57;190;37;387;838;86;126;24;76;69;204;36;93;140;124;244
ENSG00000298603.1;ENSG00000298603;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;4;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0
ENSG00000223764.3;LINC02593;31;145;73;59;67;17;254;68;41;6;166;18;105;106;331;58;76;38;101;547;250;74;158;60;226;46;5;278;123;129;101;110;64;9;27;45;74;198;86;28;94;22;46;29;43;17;71;43;92;193;10;341;13;64;45;630;53;102;149;20;56;69;248;28;134;61;234;341
ENSG00000187634.13;SAMD11;46;79;106;49;82;106;435;198;95;59;409;34;150;172;386;69;166;49;159;1356;558;152;234;75;138;50;14;406;378;227;256;121;99;17;40;81;111;187;112;39;77;49;55;27;66;34;176;140;69;194;49;357;27;127;60;427;153;70;172;20;92;287;318;62;216;142;117;182
ENSG00000188976.11;NOC2L;3664;4034;4214;3156;2709;4176;4403;2267;2796;5513;2984;4602;5517;3414;3650;2349;3730;3573;3008;2945;3225;3341;2268;1986;4185;3046;4682;4643;5562;4692;4067;4721;2791;2211;2282;4581;3887;3836;4050;2895;2628;2766;2634;2730;3443;3296;2386;2438;5769;3938;3163;2049;2798;5063;5897;3905;2480;4548;4854;5212;5373;3552;4668;2881;2638;4833;3361;4898
ENSG00000187961.15;KLHL17;1086;1085;862;570;424;1514;982;404;608;1293;982;815;1665;917;852;485;671;1428;980;1114;492;716;691;424;790;733;269;1009;900;225;719;1409;647;373;508;455;870;483;472;420;804;492;239;608;926;373;377;500;1177;1036;1226;505;914;1211;1044;551;3515;705;1003;837;1829;571;888;638;704;1480;592;1327
ENSG00000187583.11;PLEKHN1;169;419;196;43;15;354;406;23;25;71;368;492;764;82;455;34;269;108;331;106;13;49;19;25;352;336;16;521;237;13;347;38;30;18;18;224;698;61;50;14;172;63;15;70;355;82;149;103;567;528;68;33;469;511;381;44;357;214;581;58;485;308;515;10;45;939;442;573
ENSG00000187642.10;PERM1;12;10;24;32;26;32;82;13;15;6;40;84;63;11;69;32;39;23;16;23;8;20;67;8;27;10;15;76;52;11;50;28;1;8;29;9;61;13;13;24;2;25;25;21;32;37;98;25;111;47;8;13;21;35;80;10;27;24;95;4;51;952;83;8;11;115;41;33
ENSG00000303599.1;ENSG00000303599;1;3;1;8;2;4;6;4;2;0;2;1;2;1;4;8;1;2;1;1;2;2;4;0;0;1;0;6;0;0;1;3;5;0;3;0;0;1;0;0;6;2;3;1;2;3;3;1;5;1;0;4;1;0;2;0;9;1;0;4;3;10;1;2;2;4;0;0
ENSG00000272512.1;ENSG00000272512;53;113;176;171;117;154;396;355;130;293;656;369;117;255;910;445;242;316;277;779;586;204;112;118;106;154;65;340;81;132;410;507;50;67;350;49;744;131;92;83;243;170;497;54;510;112;84;238;501;92;98;142;198;147;223;175;357;86;294;87;695;96;741;127;286;336;238;728
ENSG00000188290.11;HES4;520;519;666;580;174;533;1822;741;447;554;1584;598;757;450;1760;979;718;594;303;614;1561;1100;1419;197;551;509;274;1057;1283;483;1374;1645;309;212;689;327;827;297;382;416;182;399;1054;153;1175;565;1960;677;2789;1026;305;526;722;914;341;335;2778;369;1365;226;1116;533;1407;250;618;2085;712;1949
ENSG00000303623.1;ENSG00000303623;31;18;17;12;2;16;23;1;7;9;14;23;18;8;19;11;13;22;4;12;16;16;10;7;13;18;9;19;21;8;30;20;2;5;9;9;30;11;15;1;6;15;12;3;34;19;19;11;63;33;14;11;22;23;9;3;58;10;31;14;30;8;37;9;15;26;7;34
